episode,score,average_score,steps,total_steps
0,23.0,23.0,23,23
1,19.0,21.0,19,42
2,12.0,18.0,12,54
3,16.0,17.5,16,70
4,23.0,18.6,23,93
5,11.0,17.333333333333332,11,104
6,12.0,16.571428571428573,12,116
7,9.0,15.625,9,125
8,16.0,15.666666666666666,16,141
9,12.0,15.3,12,153
10,11.0,14.909090909090908,11,164
11,15.0,14.916666666666666,15,179
12,14.0,14.846153846153847,14,193
13,10.0,14.5,10,203
14,13.0,14.4,13,216
15,10.0,14.125,10,226
16,10.0,13.882352941176471,10,236
17,10.0,13.666666666666666,10,246
18,13.0,13.631578947368421,13,259
19,8.0,13.35,8,267
20,14.0,13.380952380952381,14,281
21,9.0,13.181818181818182,9,290
22,9.0,13.0,9,299
23,10.0,12.875,10,309
24,10.0,12.76,10,319
25,9.0,12.615384615384615,9,328
26,93.0,15.592592592592593,93,421
27,16.0,15.607142857142858,16,437
28,28.0,16.03448275862069,28,465
29,52.0,17.233333333333334,52,517
30,93.0,19.677419354838708,93,610
31,25.0,19.84375,25,635
32,80.0,21.666666666666668,80,715
33,15.0,21.470588235294116,15,730
34,11.0,21.17142857142857,11,741
35,10.0,20.86111111111111,10,751
36,8.0,20.513513513513512,8,759
37,9.0,20.210526315789473,9,768
38,40.0,20.71794871794872,40,808
39,25.0,20.825,25,833
40,33.0,21.121951219512194,33,866
41,46.0,21.714285714285715,46,912
42,72.0,22.88372093023256,72,984
43,48.0,23.454545454545453,48,1032
44,50.0,24.044444444444444,50,1082
45,94.0,25.565217391304348,94,1176
46,56.0,26.21276595744681,56,1232
47,40.0,26.5,40,1272
48,44.0,26.857142857142858,44,1316
49,28.0,26.88,28,1344
50,60.0,27.529411764705884,60,1404
51,52.0,28.0,52,1456
52,63.0,28.660377358490567,63,1519
53,37.0,28.814814814814813,37,1556
54,45.0,29.10909090909091,45,1601
55,56.0,29.589285714285715,56,1657
56,42.0,29.80701754385965,42,1699
57,50.0,30.155172413793103,50,1749
58,58.0,30.627118644067796,58,1807
59,89.0,31.6,89,1896
60,72.0,32.26229508196721,72,1968
61,57.0,32.66129032258065,57,2025
62,62.0,33.12698412698413,62,2087
63,48.0,33.359375,48,2135
64,95.0,34.30769230769231,95,2230
65,113.0,35.5,113,2343
66,108.0,36.582089552238806,108,2451
67,46.0,36.720588235294116,46,2497
68,61.0,37.072463768115945,61,2558
69,107.0,38.07142857142857,107,2665
70,130.0,39.36619718309859,130,2795
71,141.0,40.77777777777778,141,2936
72,96.0,41.534246575342465,96,3032
73,103.0,42.36486486486486,103,3135
74,144.0,43.72,144,3279
75,165.0,45.31578947368421,165,3444
76,120.0,46.285714285714285,120,3564
77,150.0,47.61538461538461,150,3714
78,126.0,48.607594936708864,126,3840
79,93.0,49.1625,93,3933
80,139.0,50.27160493827161,139,4072
81,143.0,51.40243902439025,143,4215
82,127.0,52.31325301204819,127,4342
83,303.0,55.29761904761905,303,4645
84,156.0,56.48235294117647,156,4801
85,144.0,57.5,144,4945
86,168.0,58.770114942528735,168,5113
87,205.0,60.43181818181818,205,5318
88,272.0,62.80898876404494,272,5590
89,194.0,64.26666666666667,194,5784
90,203.0,65.79120879120879,203,5987
91,266.0,67.96739130434783,266,6253
92,210.0,69.49462365591398,210,6463
93,202.0,70.90425531914893,202,6665
94,227.0,72.54736842105264,227,6892
95,283.0,74.73958333333333,283,7175
96,229.0,76.3298969072165,229,7404
97,385.0,79.4795918367347,385,7789
98,158.0,80.27272727272727,158,7947
99,135.0,80.82,135,8082
100,181.0,82.4,181,8263
101,245.0,84.66,245,8508
102,500.0,89.54,500,9008
103,176.0,91.14,176,9184
104,251.0,93.42,251,9435
105,254.0,95.85,254,9689
106,209.0,97.82,209,9898
107,399.0,101.72,399,10297
108,202.0,103.58,202,10499
109,420.0,107.66,420,10919
110,203.0,109.58,203,11122
111,259.0,112.02,259,11381
112,280.0,114.68,280,11661
113,164.0,116.22,164,11825
114,493.0,121.02,493,12318
115,252.0,123.44,252,12570
116,500.0,128.34,500,13070
117,500.0,133.24,500,13570
118,215.0,135.26,215,13785
119,166.0,136.84,166,13951
120,226.0,138.96,226,14177
121,227.0,141.14,227,14404
122,363.0,144.68,363,14767
123,156.0,146.14,156,14923
124,250.0,148.54,250,15173
125,346.0,151.91,346,15519
126,384.0,154.82,384,15903
127,396.0,158.62,396,16299
128,300.0,161.34,300,16599
129,336.0,164.18,336,16935
130,288.0,166.13,288,17223
131,335.0,169.23,335,17558
132,487.0,173.3,487,18045
133,465.0,177.8,465,18510
134,373.0,181.42,373,18883
135,346.0,184.78,346,19229
136,308.0,187.78,308,19537
137,334.0,191.03,334,19871
138,225.0,192.88,225,20096
139,166.0,194.29,166,20262
140,148.0,195.44,148,20410
141,183.0,196.81,183,20593
142,361.0,199.7,361,20954
143,242.0,201.64,242,21196
